"id","isin","cash_flow_date","cash_flow_amount","record_date","principal_amount","interest_amount","tds_amount","remaining_principal","state","created_at","updated_at"
e6195adb-691a-4bc5-94b4-9c4dafff9125,INE0OOQ07320,2025-01-08,"994.5479",2024-12-24,"0","994.5479","99","100000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"19437196-b1fe-416e-bb62-2eac1a7fe32f",INE0OOQ07320,2025-02-08,"994.5479",2025-01-24,"0","994.5479","99","100000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"0972b805-2a60-4835-993b-317912236e06",INE0OOQ07320,2025-03-08,"898.3014",2025-02-21,"0","898.3014","90","100000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
e39382c0-9854-45cd-897c-a8bee5f5799b,INE0OOQ07320,2025-04-08,"994.5479",2025-03-24,"0","994.5479","99","100000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"4ae68f81-0e93-4eb0-bc37-35b5f5d0fbc6",INE0OOQ07320,2025-05-08,"50962.4658",2025-04-23,"50000","962.4658","96","100000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"4fc7ef30-ef9c-4953-9164-b44ff00a78fa",INE0OOQ07320,2025-06-08,"497.274",2025-05-24,"0","497.274","50","50000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"3f6a3a01-14ed-40e9-baa8-66561091e74b",INE0OOQ07320,2025-07-08,"481.2329",2025-06-23,"0","481.2329","48","50000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
ad440660-ec20-48a8-9b56-a66785da5814,INE0OOQ07320,2025-08-08,"25497.274",2025-07-24,"25000","497.274","50","50000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"035f82dc-ffbd-4f27-9059-ec8f89607833",INE0OOQ07320,2025-09-08,"248.637",2025-08-24,"0","248.637","25","25000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
f764c24b-a3e4-438d-a5e1-a6ec68b750ef,INE0OOQ07320,2025-10-08,"240.6164",2025-09-23,"0","240.6164","24","25000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"1beccc7c-188e-447f-9500-c411af4cc5af",INE0OOQ07320,2025-11-13,"25288.7397",2025-10-29,"25000","288.7397","29","25000",active,2025-01-16 16:46:49.353,2025-01-16 16:46:49.353
"3f096bf1-cb29-481b-8fbf-9b11c39eb3ee",INE06E507165,2024-06-23,"649.31798884",2024-06-08,"555.5556","93.76239","9","10000.01",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"1cb9f614-2431-4e9b-b699-8af0f4f27b7a",INE06E507165,2024-07-23,"641.25237172",2024-07-08,"555.5556","85.69677","9","9444.45",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"39674589-1848-45ac-bb80-703c51b2b04a",INE06E507165,2024-08-23,"638.8999",2024-08-08,"555.5556","83.3443","8","8888.89",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"02089bf8-c4aa-4834-9954-53b144572460",INE06E507165,2024-09-23,"633.6907",2024-09-08,"555.5556","78.1352","8","8333.33",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"97ebe8eb-dbc0-4fad-8659-1a143176eba3",INE06E507165,2024-10-23,"626.1294",2024-10-08,"555.5556","70.5738","7","7777.78",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
f7901c72-273b-4867-982b-0681fa99c6f9,INE06E507165,2024-11-23,"623.2727",2024-11-08,"555.5556","67.7172","7","7222.22",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
ed79c462-f3c4-41e3-b884-f5a597863766,INE06E507165,2024-12-23,"616.2131",2024-12-08,"555.5556","60.6575","6","6666.67",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"3c809635-5e40-435d-8ab7-ab870b2591a7",INE06E507165,2025-01-23,"613.0117",2025-01-08,"555.5556","57.4562","6","6111.11",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
b6cbf1f9-85e0-45f3-b10c-bc4c346cbace,INE06E507165,2025-02-23,"607.7885",2025-02-08,"555.5556","52.2329","5","5555.56",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"4db164b7-30c5-44ee-b73d-51e53882c83e",INE06E507165,2025-03-23,"598.0159",2025-03-08,"555.5556","42.4603","4","5000",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
c30abfb8-1ac9-46b6-8b9a-238354e436aa,INE06E507165,2025-04-23,"597.3418",2025-04-08,"555.5556","41.7863","4","4444.44",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"386659f8-ad82-4d4d-9e4b-126b83fc87d4",INE06E507165,2025-05-23,"590.9392",2025-05-08,"555.5556","35.3836","4","3888.89",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"9daf83c1-b226-4ded-a8cd-d7f7101a6b23",INE06E507165,2025-06-23,"586.8952",2025-06-08,"555.5556","31.3397","3","3333.33",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"311bc4c8-46ea-44e6-b0be-65db9f201a43",INE06E507165,2025-07-23,"580.8296",2025-07-08,"555.5556","25.274","3","2777.78",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
abb2d81a-b7c8-4bc3-90bd-ed331409756d,INE06E507165,2025-08-23,"576.4487",2025-08-08,"555.5556","20.8932","2","2222.22",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"31a246cd-2e5d-48a9-932e-2d7821899ef3",INE06E507165,2025-09-23,"571.2255",2025-09-08,"555.5556","15.6699","2","1666.67",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"57ff740f-f23c-4cc3-be8f-8b9ea7ba8326",INE06E507165,2025-10-23,"565.6651",2025-10-08,"555.5556","10.1096","1","1111.11",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
cecf2906-fe86-49a6-9169-5159e6a34689,INE06E507165,2025-11-23,"560.7789",2025-11-08,"555.5556","5.2233","1","555.56",active,2025-01-16 16:47:32.000,2025-01-16 16:47:32.000
"7bdbc023-4589-4abe-ab30-bf1e0847c3e9",INE0B7Y07076,2024-07-11,"98.36065574",2024-06-26,"0","98.3607","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
"35f66aae-ddad-4555-b5af-d18fba7fec0e",INE0B7Y07076,2024-08-11,"101.6393443",2024-07-27,"0","101.6393","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
"67e5eb19-0eea-436a-9484-a92147fb9d05",INE0B7Y07076,2024-09-11,"101.6393443",2024-08-27,"0","101.6393","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
"4ac9826f-b06c-4937-9a66-e8c5fc3a35f3",INE0B7Y07076,2024-10-11,"98.36065574",2024-09-26,"0","98.3607","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
c7c02ae8-75d8-4a0a-9e45-d66268194085,INE0B7Y07076,2024-11-11,"101.9178082",2024-10-27,"0","101.9178","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
c2a701ed-5473-4a04-8355-4f54d2c414e8,INE0B7Y07076,2024-12-11,"98.63013699",2024-11-26,"0","98.6301","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
"881f0a68-db30-45a8-a753-88b0b2375db2",INE0B7Y07076,2025-01-11,"10101.91781",2024-12-27,"10000","101.9178","10","10000",active,2025-01-16 16:47:48.062,2025-01-16 16:47:48.062
"4ef17173-7736-4ce5-96c6-c6e7b415b4bd",INE08XP07258,2025-01-22,"850.16",2025-01-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"6e69fab3-7278-4805-9903-57e113bf3584",INE08XP07258,2025-02-22,"850.16",2025-02-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"808bcfaa-7107-40ee-86d8-8efa33f139f2",INE08XP07258,2025-03-22,"767.89",2025-03-07,"0","767.89","77","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"290f3eae-f693-4bfb-9332-41fedc1fd83e",INE08XP07258,2025-04-22,"850.16",2025-04-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"795b3f60-adb9-4049-81c3-d078e37424f8",INE08XP07258,2025-05-22,"822.74",2025-05-07,"0","822.74","82","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"27be7135-8571-4e08-bce2-f752cb64f2d6",INE08XP07258,2025-06-22,"850.16",2025-06-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
bd93b4cb-a94e-4791-b7dd-b8449e1bf5db,INE08XP07258,2025-07-22,"822.74",2025-07-07,"0","822.74","82","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"122c1dca-239c-4e69-9cb4-f1e6b413a61f",INE08XP07258,2025-08-22,"850.16",2025-08-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"4b5734ff-8a01-4aba-abb8-65fd36864c3f",INE08XP07258,2025-09-22,"850.16",2025-09-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"1c5538b4-e5aa-498e-bd4f-6df919b799e8",INE08XP07258,2025-10-22,"822.74",2025-10-07,"0","822.74","82","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
d0aabc78-55b6-4b22-b9d2-e5b474aad625,INE08XP07258,2025-11-22,"850.16",2025-11-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"65cd81db-cf59-47a3-9d89-e880619521d3",INE08XP07258,2025-12-22,"822.74",2025-12-07,"0","822.74","82","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"2b1cb7d8-cb10-4ef9-8199-c59a4257c7b1",INE08XP07258,2026-01-22,"850.16",2026-01-07,"0","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"8afb85c2-8ab7-4800-9029-b410611e5bf6",INE08XP07258,2026-02-22,"100850.16",2026-02-07,"100000","850.16","85","100000",active,2025-01-16 16:48:09.595,2025-01-16 16:48:09.595
"10c7e1ce-3634-42f2-8b93-ccb92655741b",INE08XP07266,2025-01-17,"836.58",2025-01-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"3add5824-7dca-416a-b687-9dabe5c187cd",INE08XP07266,2025-02-17,"836.58",2025-02-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
fd0c8687-4e31-4f9c-ba31-7f692e4e7d23,INE08XP07266,2025-03-17,"755.62",2025-03-02,"0","755.62","76","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
f4826197-0945-4862-8d6c-29a2b538f0dc,INE08XP07266,2025-04-17,"836.58",2025-04-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
a15f5e18-4b29-4636-9ea0-4ddb5223b30e,INE08XP07266,2025-05-17,"809.59",2025-05-02,"0","809.59","81","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"5006f3c5-7dcc-4388-b5dd-970bb424d760",INE08XP07266,2025-06-17,"836.58",2025-06-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"172d7576-2bac-4dce-b3ca-bc683733f746",INE08XP07266,2025-07-17,"809.59",2025-07-02,"0","809.59","81","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"2c23fc4f-ed2c-491d-b4a1-545b9a5af992",INE08XP07266,2025-08-17,"836.58",2025-08-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"12e68656-edc1-4e32-97c3-e4e03036ba4b",INE08XP07266,2025-09-17,"836.58",2025-09-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"189306eb-017a-48b7-8188-d79c6346af80",INE08XP07266,2025-10-17,"809.59",2025-10-02,"0","809.59","81","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"37a243c5-95bd-40e9-9f76-1911f7600463",INE08XP07266,2025-11-17,"836.58",2025-11-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
f43f37d9-4878-496e-aeb0-68cdca40ad39,INE08XP07266,2025-12-17,"809.59",2025-12-02,"0","809.59","81","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"2a3c271a-84b2-4546-b177-9c273b035106",INE08XP07266,2026-01-17,"836.58",2026-01-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
"6b788015-9f71-4f6a-a75e-491febbf1db6",INE08XP07266,2026-02-17,"836.58",2026-02-02,"0","836.58","84","100000",active,2025-01-16 16:48:48.298,2025-01-16 16:48:48.298
